"trilha","storyId","tituloHistoria","sceneNumber","textoNarracao","tomSugerido","audioFileName"
"Comece Aqui","noah","Noé e o Arco-Íris","1","Há muito, muito tempo, Deus olhou para o mundo e ficou triste porque as pessoas estavam fazendo coisas erradas. Mas havia um homem muito especial chamado Noé. A Bíblia conta que Noé era um homem justo e íntegro — isso quer dizer que ele fazia o que é certo e andava junto com Deus todos os dias. Enquanto todos ao redor escolhiam caminhos errados, Noé escolhia o caminho de Deus.","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_01.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","2","Um dia, Deus falou com Noé. Ele disse: ""Noé, vou mandar uma grande chuva sobre a terra. Preciso que você construa uma arca — um barco enorme — para proteger sua família e dois de cada animal."" Noé podia ter ficado com medo ou inventado desculpas. Mas não! Ele ouviu Deus com o coração aberto e respondeu: ""Sim, Senhor!"" Deus nos avisa quando precisa de nós — e podemos confiar nele!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_02.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","3","Noé não perdeu tempo! Ele fez exatamente tudo o que Deus mandou. Com seus filhos Sem, Cam e Jafé, ele começou a trabalhar: TIC, TAC, TIC! Serravam madeira, martelavam pregos e montavam as grandes tábuas. A arca foi crescendo, crescendo, crescendo — maior que uma casa, maior que uma escola! Era enorme. A Bíblia diz que Noé fez tudo como Deus ordenou. Que exemplo de obediência!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_03.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","4","Quando a arca ficou pronta, Deus disse: ""Agora, chame os animais! Dois de cada tipo."" Então aconteceu uma coisa incrível! Os animais foram chegando — dois a dois — por conta própria: os elefantes enormes, os coelhinhos fofos, as zebras listradas, os leõezinhos com juba... Cada bichinho encontrou seu lugarzinho na arca. Deus cuidou de cada detalhe. A Bíblia diz que os animais entraram como Deus havia ordenado.","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_04.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","5","Plic… plic… PLAC PLAC PLAC! A grande chuva começou! Deus mesmo fechou a porta da arca para proteger Noé e sua família. As águas foram subindo, subindo, subindo… cobrindo tudo. Mas dentro da arca estava tudo bem! A família de Noé estava unida e segura. A chuva durou quarenta dias e quarenta noites. Deus cumpriu o que tinha dito — e também cumpriu sua proteção!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_05.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","6","A arca flutuava mansamente sobre as águas. Deus não esqueceu de Noé! A Bíblia diz que Deus se lembrou de Noé e de todos os animais que estavam na arca. Ele mandou um vento sobre a terra e as águas começaram a baixar. Pouquinho a pouco, a água foi diminuindo. A arca pousou sobre o Monte Ararate. Deus estava no controle de tudo — até da água!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_06.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","7","Quando as águas baixaram mais um pouco, Noé abriu a janelinha da arca e soltou uma pombinha branca. ""Vai lá, pombinha! Veja se já tem terra seca."" Mas a pombinha voltou. As águas ainda cobriam tudo. Sete dias depois, Noé a soltou de novo. Desta vez, ela demorou um pouco mais para voltar...","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_07.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","8","A pombinha voltou para Noé — e trouxe um raminho de oliveira no bico! Um ramo verde e fresquinho! Noé soube: a terra estava ficando seca. As plantas estavam brotando de novo. A vida estava voltando! Noé ficou com o coração cheio de alegria. Deus estava cumprindo sua palavra, passo a passo, com cuidado.","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_08.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","9","Deus disse: ""Noé, você pode sair!"" E que saída feliz! Os animais saíram pulando, correndo e voando. A família de Noé pisou na terra firme com alegria. Noé construiu um altar e agradeceu a Deus com todo o coração. Ele não saiu correndo para festejar sozinho — primeiro ele parou para adorar e agradecer a Deus por todo cuidado. Que exemplo lindo!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_09.mp3"
"Comece Aqui","noah","Noé e o Arco-Íris","10","Então Deus fez algo que ninguém jamais tinha visto! No céu apareceram lindas cores: VERMELHO, LARANJA, AMARELO, VERDE, AZUL, ROXO! Um arco-íris enorme e colorido cruzou todo o céu. Deus disse: ""Este arco-íris é a minha promessa para você e para toda a criação. Nunca mais vou destruir a terra com um dilúvio."" Agora, toda vez que você ver um arco-íris, lembre: é o sinal do amor e da promessa de Deus!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_noah_scene_10.mp3"
"Pequeninos","david_goliath","Davi e Golias","1","Davi era o filho mais novo de Jessé, de Belém. Enquanto seus irmãos mais velhos estavam no exército, Davi ficava nos campos cuidando das ovelhas do pai. Era um trabalho simples, mas Davi o fazia com amor. Nos campos, ele tocava harpa e cantava músicas de louvor a Deus. Davi era pequenininho, mas tinha um coração enorme cheio de fé. E Deus olhava para ele com muito carinho.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_01.mp3"
"Pequeninos","david_goliath","Davi e Golias","2","No vale de Elá, o povo de Israel estava acampado de um lado. Do outro lado estavam os filisteus, seus inimigos. De repente, do campo inimigo saiu um gigante chamado Golias! Ele media mais de dois metros e meio de altura e usava uma armadura pesada. Com voz que parecia trovão, ele gritava: ""Escolham um homem para lutar comigo! Se ele vencer, seremos servos de vocês. Se eu vencer, vocês serão nossos servos!"" Golias ficou fazendo isso por quarenta dias.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_02.mp3"
"Pequeninos","david_goliath","Davi e Golias","3","Toda manhã e toda tarde, Golias saía gritando seu desafio. E o que acontecia? O rei Saul e todo o exército de Israel ficavam com muito medo! Os soldados se escondiam nas tendas. Ninguém queria enfrentar aquele gigante. O medo era tão grande que parecia paralisar todo mundo. Quarenta dias passaram e nenhum soldado teve coragem de aceitar o desafio.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_03.mp3"
"Pequeninos","david_goliath","Davi e Golias","4","O pai de Davi o mandou levar comida para seus irmãos que estavam no exército. Quando Davi chegou ao acampamento e ouviu Golias gritando, ele ficou espantado — mas não de medo! Ele perguntou aos soldados: ""O que será que acontece com quem vencer esse filisteu? Quem é ele para desafiar o exército do Deus vivo?"" Davi via a situação com olhos de fé!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_04.mp3"
"Pequeninos","david_goliath","Davi e Golias","5","Davi foi falar com o rei Saul. Saul disse: ""Você não pode lutar com Golias! Você ainda é jovem e ele é um guerreiro experiente!"" Mas Davi não desanimou. Ele respondeu com firmeza: ""Seu servo pastoreava as ovelhas do seu pai. Quando um leão ou um urso vinha roubar uma ovelhinha, eu ia atrás, o atacava e a livrava. O Senhor me livrou do leão e do urso. Ele também vai me livrar desse filisteu!""","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_05.mp3"
"Pequeninos","david_goliath","Davi e Golias","6","Davi olhou nos olhos do rei Saul e disse com toda a certeza: ""O Senhor, que me livrou das garras do leão e do urso, também me livrará das mãos desse filisteu!"" Davi não estava confiando em sua própria força. Ele estava confiando no Deus que já tinha cuidado dele antes. Quem se lembra do cuidado de Deus no passado tem coragem para o presente! Saul disse: ""Então vá, e que o Senhor seja contigo.""","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_06.mp3"
"Pequeninos","david_goliath","Davi e Golias","7","Davi foi até o riacho e escolheu com cuidado cinco pedrinhas lisas e redondas. Cinco! Por que cinco? Talvez por precaução, talvez por fé. Com seu estilingue na mão — a mesma ferramenta que usava para proteger as ovelhas — Davi se preparou. Não tinha escudo, nem espada, nem armadura. Mas tinha algo muito mais poderoso: a fé em Deus que age através de coisas simples!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_07.mp3"
"Pequeninos","david_goliath","Davi e Golias","8","Golias viu Davi se aproximando e ficou com raiva: ""Você vem até mim com um cajado? Venha cá, que vou dar seu corpo para os pássaros!"" Mas Davi respondeu sem medo: ""Você vem até mim com espada, lança e dardo. Mas eu venho até você em nome do Senhor dos Exércitos, o Deus de Israel, a quem você desafiou!"" E então Davi correu em direção ao gigante, colocou a pedrinha no estilingue e girou bem forte!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_08.mp3"
"Pequeninos","david_goliath","Davi e Golias","9","A pedrinha voou, voou, voou... e acertou bem na testa de Golias! O gigante cambaleou... e caiu com um estrondo enorme no chão. PUMBA! Com uma pedra pequenininha e muita fé em Deus, o impossível aconteceu. Davi nem precisou de espada. Deus cumpriu o que Davi havia dito: a batalha era do Senhor! Todo o povo ficou de boca aberta. O gigante tinha caído!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_09.mp3"
"Pequeninos","david_goliath","Davi e Golias","10","O povo de Israel soltou um grande grito de alegria! Os filisteus fugiram. A vitória tinha chegado! Davi não tinha lutado sozinho — Deus estava com ele o tempo todo. Davi olhou para o céu com o coração cheio de gratidão. Ele sabia: não foi a pedrinha, não foi o estilingue, não foi a força do seu braço que venceu. Foi a fé em Deus que fez toda a diferença. Com Deus do nosso lado, nenhum gigante é grande demais!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_david_goliath_scene_10.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","1","Naquele dia especial, muitas mamães e papais saíram de casa com seus filhinhos pequeninos nos braços. Eles tinham ouvido falar de Jesus — um mestre cheio de amor que fazia coisas maravilhosas. Com o coração cheio de esperança, as famílias caminhavam em direção a Jesus. Elas queriam que Jesus colocasse as mãos sobre as crianças e as abençoasse. Era um desejo lindo e cheio de fé!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_01.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","2","Quando os discípulos — os ajudantes de Jesus — viram as famílias chegando com as crianças, eles foram logo impedindo: ""Não incomodem o Mestre! Ele está muito ocupado. As crianças não podem passar!"" As criançinhas pararam. As mamães seguraram seus filhos com carinha de tristeza. Aquilo não parecia certo. Mas Jesus estava prestando atenção em tudo...","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_02.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","3","Jesus estava conversando quando percebeu o que estava acontecendo. Ele viu as crianças sendo impedidas de chegar perto d'Ele. Isso deixou Jesus muito incomodado — a Bíblia diz que Ele ficou indignado. Jesus não concordava com aquilo! Para Ele, as crianças eram muito importantes. Cada criança tinha um valor enorme aos olhos de Jesus. Nenhuma criança devia ser impedida de vir até Ele!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_03.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","4","Jesus repreendeu os discípulos e disse com voz firme e cheia de amor: ""Deixem as crianças virem até mim! Não as impeçam!"" Que palavras lindas! Jesus estava dizendo que as crianças eram bem-vindas. Que elas importavam. Que Ele queria que elas chegassem perto. As crianças ouviram a voz gentil de Jesus chamando — e sentiram que eram amadas de verdade!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_04.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","5","Jesus aproveitou aquele momento para ensinar algo muito importante a todos: ""Em verdade vos digo que quem não receber o Reino de Deus como uma criança, não entrará nele!"" Jesus estava dizendo que a confiança simples, pura e alegre das crianças é exatamente o que Deus ama ver no coração de cada pessoa. A fé de uma criança é um modelo para todos!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_05.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","6","Quando as crianças ouviram Jesus dizer ""Vinde a mim!"", elas saíram correndo! Com carinhas alegres, bracinhos abertos e passinhos rápidos, cada criança correu em direção a Jesus. Nenhuma criança ficou com medo. Elas sabiam que Ele as chamava com amor! E correram, correram, correram... direto para os braços de Jesus!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_06.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","7","Jesus se abaixou, abriu os braços bem abertos e abraçou cada criança. Um abraço de verdade, quentinho e cheio de amor. Uma menininha encostou a cabecinha no ombro d'Ele. Um menininho segurou a mão de Jesus. Outro ficou no colo. Jesus tinha tempo para cada uma. Jesus tinha amor para cada uma. Nenhuma criança ficou sem o abraço de Jesus!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_07.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","8","Jesus colocou as mãos com muito carinho na cabeça de cada criança — uma por uma — e as abençoou. Isso significa que Jesus pediu a Deus coisas muito boas para cada criança: proteção, saúde, alegria, amor e um futuro cheio de esperança. A bênção de Jesus é um presente precioso. E Jesus deu esse presente para cada criança ali!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_08.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","9","Os discípulos ficaram pensando no que tinham visto. Eles tinham errado ao tentar impedir as crianças. Jesus os ensinou com ternura: as crianças não são menos importantes — pelo contrário, são um exemplo de fé! Aquele dia mudou o coração dos discípulos. Eles aprenderam que Jesus tem tempo, amor e cuidado para cada pessoa, não importa a idade.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_09.mp3"
"Pequeninos","jesus_children","Jesus e as Crianças","10","As crianças foram para casa com o coração cheio de alegria e amor. Elas nunca iam esquecer aquele dia — o dia em que Jesus as chamou, as abraçou e as abençoou. E sabe de uma coisa? Jesus te ama do mesmo jeito! Hoje, quando você ora, Jesus ouve. Quando você precisa de um abraço, Ele está perto. O amor de Jesus por você nunca vai acabar. Nunca mesmo!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jesus_children_scene_10.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","1","Daniel era um jovem judeu que foi levado como prisioneiro para a grande cidade de Babilônia, muito longe de sua casa. Tudo era diferente — os costumes, a comida, a língua. Mas Daniel não deixou aquilo mudar o seu coração. Ele continuou seguindo a Deus em tudo, mesmo numa terra estranha. Daniel era sábio, honesto e fiel, e o rei logo percebeu que ele era alguém muito especial!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_01.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","2","Todos os dias, três vezes ao dia — de manhã, ao meio-dia e à tarde — Daniel abria a janela do seu quarto voltada para Jerusalém e orava a Deus. Era um hábito sagrado cheio de amor. Não importava o que estava acontecendo ao redor. Não importava quão ocupado ele estava. Daniel sempre fazia seu momento especial com Deus. Aquela janela aberta era o símbolo da sua fé viva!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_02.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","3","Alguns funcionários do rei tinham inveja de Daniel. Ele era tão honesto e tão fiel que nunca cometia nenhum erro — não havia nada que pudessem usar contra ele. Então pensaram: ""Vamos usar a fé de Daniel como armadilha!"" Eles criaram um plano malvado para eliminar Daniel usando justamente o que o tornava especial: o costume de orar a Deus todos os dias.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_03.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","4","Os inimigos de Daniel foram ao rei Dario com uma proposta enganosa: ""Rei, mande que por trinta dias ninguém ore a nenhum deus ou pessoa — só a você. Quem desobedecer será jogado na cova dos leões!"" O rei Dario, sem perceber a armadilha, assinou a lei. Era uma lei que não podia ser mudada. Os inimigos de Daniel sorriam... mas não sabiam que Deus é maior que qualquer lei!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_04.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","5","Daniel soube da nova lei. Sabia que poderia morrer. Mas o que ele fez? A mesma coisa que sempre fazia! Foi para o seu quarto, abriu a janela voltada para Jerusalém e orou a Deus com gratidão — como fazia três vezes ao dia. Daniel não escondeu a sua fé por medo. Quando você ama de verdade a Deus, o medo não consegue fechar sua janela!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_05.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","6","Os inimigos de Daniel estavam escondidos, espiando. Assim que o viram orar, correram para o rei: ""Daniel, aquele judeu, está desobedecendo a sua lei! Ele ora ao seu Deus três vezes ao dia!"" O rei Dario ficou muito angustiado — ele gostava de Daniel e tentou por muitas horas encontrar uma maneira de salvá-lo. Mas a lei era irrevogável. Com o coração pesado, o rei não teve escolha.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_06.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","7","O rei Dario disse com tristeza: ""Que o teu Deus, a quem sempre serves, te livre!"" E Daniel foi lançado na cova dos leões! Uma pedra grande foi rolada para tampar a cova. Os leões rugiam lá dentro. O rei voltou ao palácio com o coração partido — ele não conseguiu dormir aquela noite. Mas Daniel estava nas mãos de Deus, que é muito mais forte que qualquer leão!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_07.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","8","Dentro da cova escura, Daniel não estava sozinho. Deus enviou um anjo especial para cuidar de Daniel. O anjo fechou as bocas dos leões! Os animais ferozes ficaram quietos, como se fossem gatinhos mansos. Daniel passou a noite inteira entre os leões sem ser tocado. A fé de Daniel havia chamado a proteção de Deus para aquela noite escura e perigosa.","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_08.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","9","Com as primeiras luzes do amanhecer, o rei Dario se levantou correndo. Correu direto para a cova dos leões, com voz cheia de esperança e medo ao mesmo tempo. Chamou: ""Daniel! Daniel, servo do Deus vivo! O teu Deus, a quem sempre serves, pôde te livrar dos leões?"" E em resposta... veio uma voz familiar e alegre de dentro da cova! O rei não acreditou em seus ouvidos!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_09.mp3"
"Pequeninos","daniel_lions","Daniel e os Leões","10","""Rei Dario, viva para sempre! Meu Deus enviou o Seu anjo e fechou as bocas dos leões — porque eu sou inocente!"" Daniel saiu da cova sem um único arranhão, porque havia confiado em seu Deus. O rei ficou radiante de alegria e mandou escrever para todo o seu reino: ""Que todos respeitem o Deus de Daniel — porque Ele é o Deus vivo que dura para sempre!"" Com Deus, até a cova mais escura se torna lugar de vitória!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_daniel_lions_scene_10.mp3"
"Pequeninos","jonah_big_fish","Jonas e o Peixe","1","Um dia, Deus falou com Jonas: ""Levanta-te, vai para Nínive, aquela cidade grande, e prega contra ela!"" Nínive era uma cidade enorme cheia de pessoas que faziam coisas erradas. Era uma missão difícil e assustadora. Jonas ouviu o chamado de Deus com clareza. Mas em vez de obedecer, começou a pensar numa saída. Às vezes recebemos chamados difíceis — mas Deus sempre nos ajuda quando obedecemos!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jonah_big_fish_scene_01.mp3"
"Pequeninos","jonah_big_fish","Jonas e o Peixe","2","Jonas decidiu fugir de Deus! Ele foi ao porto de Jope, comprou uma passagem num navio e partiu na direção totalmente oposta — bem longe de Nínive. Jonas foi descendo, descendo, descendo — até o porão do navio e adormeceu. Mas ninguém consegue realmente fugir de Deus. Deus está em todo lugar, vê tudo e nos ama demais para nos deixar seguir o caminho errado!","Voz gentil e levemente expressiva. Dramatize os momentos de surpresa com entonação, mas sem assustar. Pause antes de revelar o desfecho.","audio_jonah_big_fish_scene_02.mp3"
